代码,名称,现价,涨跌幅,涨跌,涨速,换手,量比,振幅,成交额,流通股,流通市值,市盈率,概念
603019,中科曙光,38.33,0.55,0.21,0.08,6.49,0.7,5.75,35.85亿,14.51亿,556.06亿,37.04,"国企改革,央企国企改革,Web3.0,信创,东数西算（算力）,沪股通,数据中心,网络安全,云计算,工业互联网,标普道琼斯A股,国产操作系统,数字孪生,边缘计算,雄安新区,区块链,人工智能,腾讯概念,国产软件,百度概念,芯片概念,融资融券,大数据,量子科技,中字头股票,智慧城市,参股新三板,创投"
603020,爱普股份,9.62,0.52,0.05,0.0,0.38,0.77,1.46,0.14亿,3.79亿,36.50亿,24.30,"新型烟草,烟草,人造肉"
603021,山东华鹏,5.78,2.12,0.12,0.17,1.06,0.9,2.65,0.19亿,3.20亿,18.49亿,--,新材料概念
603022,新通联,9.5,1.5,0.14,-0.21,0.92,1.25,4.27,0.17亿,2.00亿,19.00亿,48.13,年报预增
603023,威帝股份,4.03,1.0,0.04,0.0,0.44,0.85,1.5,0.10亿,5.62亿,22.65亿,920.11,"国企改革,股权转让,EDR概念,车联网,胎压监测,黑龙江自贸区,汽车电子,无人驾驶"
603025,大豪科技,16.28,0.31,0.05,-0.12,0.72,0.57,1.54,1.09亿,9.23亿,150.28亿,34.50,"国企改革,沪股通,网络安全,标普道琼斯A股,国产操作系统,国产软件,芯片概念,融资融券,数字经济"
603026,胜华新材,81.99,1.17,0.95,0.05,0.78,1.29,2.21,1.29亿,2.03亿,166.18亿,14.46,"国企改革,沪股通,特斯拉,环氧丙烷,燃料电池,融资融券,锂电池,新能源汽车"
603027,千禾味业,23.94,1.79,0.42,0.13,1.07,1.06,3.1,2.45亿,9.59亿,229.47亿,92.52,"沪股通,标普道琼斯A股,MSCI概念,融资融券"
603028,赛福天,10.59,-0.66,-0.07,0.0,0.64,0.47,2.25,0.19亿,2.87亿,30.40亿,111.49,"国企改革,TOPCON电池,专精特新,新材料概念,光伏建筑一体化,壳资源,电子商务"
603029,天鹅股份,22.39,0.49,0.11,0.05,2.58,0.8,1.71,0.70亿,1.21亿,27.17亿,161.33,"农机,供销社,乡村振兴"
603030,全筑股份,2.25,0.9,0.02,0.0,1.24,0.75,2.69,0.16亿,5.80亿,13.05亿,--,"恒大概念,机器人概念,智能家居,长三角一体化,新型城镇化,装配式建筑,人工智能,建筑节能"
603031,安孚科技,46.75,-0.19,-0.09,0.02,0.25,0.61,1.07,0.13亿,1.12亿,52.36亿,49.61,"沪股通,储能,新零售,锂电池"
603032,德新科技,69.01,1.14,0.78,-0.01,0.4,0.78,2.4,0.44亿,1.60亿,110.42亿,61.40,"比亚迪概念,沪股通,年报预增,摘帽,融资融券,锂电池"
603033,三维股份,18.0,-0.33,-0.06,-0.06,0.14,0.72,0.78,0.19亿,7.76亿,139.62亿,82.10,"沪股通,年报预增,煤化工,可降解塑料,高铁,融资融券"
603035,常熟汽饰,19.45,2.96,0.56,0.0,2.97,1.32,3.65,2.17亿,3.80亿,73.92亿,15.0,"恒大概念,沪股通,特斯拉,无人驾驶,融资融券,新能源汽车"
603036,如通股份,12.65,0.48,0.06,0.0,0.55,0.53,1.67,0.14亿,2.06亿,26.06亿,41.74,"俄乌冲突概念,一带一路"
603037,凯众股份,18.71,1.74,0.32,0.21,1.02,0.65,2.94,0.20亿,1.05亿,19.63亿,28.48,"比亚迪概念,新能源汽车"
603038,华立股份,7.95,-0.62,-0.05,-0.13,1.0,1.07,1.88,0.16亿,2.07亿,16.43亿,177.72,"华为概念,大数据"
603039,ST泛微,--,--,--,--,--,--,--,--,2.61亿,189.51亿,84.90,"云办公,标普道琼斯A股,腾讯概念,国产软件,ST板块"
603040,新坐标,20.49,2.35,0.47,0.05,1.12,0.9,4.0,0.31亿,1.34亿,27.45亿,18.51,"比亚迪概念,专精特新,污水处理,新能源汽车"
603041,美思德,11.62,0.52,0.06,0.0,0.51,0.63,1.3,0.11亿,1.83亿,21.28亿,29.50,"有机硅概念,专精特新,建筑节能"
603042,华脉科技,13.16,1.54,0.2,0.0,7.38,0.68,3.09,1.55亿,1.61亿,21.13亿,--,"F5G概念,WiFi 6,数据中心,边缘计算,人工智能,融资融券,5G,物联网"
603043,广州酒家,29.64,-0.2,-0.06,0.41,0.53,0.76,2.09,0.90亿,5.69亿,168.58亿,32.40,"国企改革,预制菜,沪股通,标普道琼斯A股,融资融券,电子商务"
603045,福达合金,14.21,0.42,0.06,0.14,0.54,0.76,0.99,0.10亿,1.38亿,19.56亿,144.39,"金属回收,融资融券,智能电网"
603048,浙江黎明,17.03,0.89,0.15,0.0,4.32,0.47,2.19,0.28亿,0.38亿,6.42亿,93.38,"比亚迪概念,专精特新,共同富裕示范区,数字孪生,新能源汽车"
603050,科林电气,20.29,5.18,1.0,-0.05,5.53,2.43,8.55,1.82亿,1.62亿,32.91亿,21.75,"储能,特斯拉,雄安新区,光伏概念,融资融券,充电桩,智能电网"
603051,鹿山新材,48.23,0.44,0.21,0.08,6.01,0.96,2.69,1.42亿,0.49亿,23.60亿,59.19,"POE胶膜,TOPCON电池,新材料概念,HJT电池,节能环保,光伏概念,融资融券,水利"
603052,可川科技,50.46,3.89,1.89,0.0,9.82,2.31,3.99,0.85亿,0.17亿,8.68亿,21.91,"新股与次新股,消费电子概念,核准制次新股,宁德时代概念,新能源汽车"
603053,成都燃气,9.6,0.21,0.02,-0.21,0.25,1.34,1.57,0.21亿,8.89亿,85.33亿,17.29,"国企改革,沪股通,天然气,碳中和,氢能源"
603055,台华新材,11.15,-1.24,-0.14,0.0,0.34,0.68,2.48,0.33亿,8.88亿,98.97亿,25.12,"露营经济,沪股通,长三角一体化,融资融券"
603056,德邦股份,17.77,1.54,0.27,0.06,0.43,1.0,1.77,0.73亿,9.60亿,170.59亿,28.08,"统一大市场,沪股通,年报预增,机器人概念,长三角一体化,军民融合,标普道琼斯A股,智能物流,跨境电商,华为概念,冷链物流,融资融券"
603057,紫燕食品,27.83,-0.04,-0.01,-0.04,5.08,0.67,2.66,0.60亿,0.42亿,11.69亿,37.78,"预制菜,新股与次新股,核准制次新股,冷链物流"
603058,永吉股份,8.78,3.78,0.32,0.0,3.07,4.12,10.4,1.15亿,4.16亿,36.49亿,97.40,"烟草,集成电路概念,工业大麻,创投"
603059,倍加洁,25.78,9.98,2.34,0.0,2.56,2.1,7.55,0.64亿,1.00亿,25.78亿,26.49,"健康中国,人民币贬值受益,跨境电商,参股银行,三胎概念,电子商务"
603060,国检集团,12.88,-0.15,-0.02,-0.39,0.24,0.86,1.47,0.23亿,7.29亿,93.92亿,37.15,"国企改革,央企国企改革,土壤修复,沪股通,光伏建筑一体化,碳中和,碳交易,新冠检测,标普道琼斯A股"
603061,金海通,112.89,-4.39,-5.19,-0.06,22.39,0.99,4.05,3.81亿,0.15亿,16.93亿,44.0,"新股与次新股,专精特新,核准制次新股,集成电路概念,芯片概念"
603063,禾望电气,27.16,0.48,0.13,0.0,0.68,0.91,2.77,0.82亿,4.42亿,119.97亿,52.87,"沪股通,储能,光伏概念,融资融券,风电,智能电网"
603065,宿迁联盛,16.88,0.72,0.12,0.0,14.73,0.53,2.75,1.05亿,0.42亿,7.07亿,28.71,"新股与次新股,专精特新,新材料概念,核准制次新股"
603066,音飞储存,12.91,9.97,1.17,0.0,8.94,4.17,9.37,3.40亿,3.01亿,38.82亿,32.28,"国企改革,比亚迪概念,统一大市场,股权转让,机器人概念,特斯拉,宁德时代概念,人工智能,智能物流,华为概念,一带一路,冷链物流,物联网,参股新三板"
603067,振华股份,13.05,0.0,0.0,0.08,2.02,2.09,3.14,1.34亿,5.03亿,65.61亿,15.93,"沪股通,钒电池,融资融券,锂电池,军工,钛白粉概念"
603068,博通集成,33.87,-0.53,-0.18,0.0,1.74,0.64,2.03,0.88亿,1.50亿,50.95亿,--,"沪股通,WiFi 6,MCU芯片,消费电子概念,汽车芯片,ETC,无线耳机,智能交通,华为概念,无人驾驶,小米概念,上海自贸区,芯片概念,无人机,卫星导航,物联网"
603069,海汽集团,26.3,2.94,0.75,-0.04,3.52,1.59,3.33,2.90亿,3.16亿,83.11亿,--,"国企改革,沪股通,海南自贸区,免税店,跨境电商,融资融券,新能源汽车"
603070,万控智造,17.76,-0.11,-0.02,0.0,1.04,0.66,1.01,0.15亿,0.81亿,14.40亿,42.01,"共同富裕示范区,数据中心,融资融券,智能电网,数字经济"
603071,物产环能,16.47,0.24,0.04,0.0,0.48,0.91,1.16,0.19亿,2.38亿,39.15亿,8.79,"国企改革,生物质能发电,统一大市场,中俄贸易概念,沪股通,绿色电力,储能,节能环保,煤炭概念,污水处理"
603073,彩蝶实业,20.59,0.15,0.03,0.0,9.6,0.52,2.14,0.58亿,0.29亿,5.97亿,21.75,"新股与次新股,共同富裕示范区,核准制次新股,一带一路"
603076,乐惠国际,44.65,-1.2,-0.54,-0.13,3.85,1.16,3.39,2.07亿,1.21亿,53.89亿,77.46,"C2M概念,新零售,啤酒概念,融资融券"
603077,和邦生物,2.99,0.67,0.02,0.34,0.44,0.83,1.01,1.16亿,88.31亿,264.05亿,6.94,"TOPCON电池,低辐射玻璃（Low-E）,沪股通,天然气,标普道琼斯A股,分拆上市意愿,化肥,光伏概念,融资融券,磷化工,草甘膦,建筑节能"
603078,江化微,25.59,2.98,0.74,0.0,7.67,1.36,4.39,4.93亿,2.55亿,65.19亿,71.81,"国企改革,沪股通,年报预增,专精特新,中芯国际概念,光刻胶,OLED,芯片概念,融资融券"
603079,圣达生物,12.94,-0.23,-0.03,0.08,0.47,0.6,1.62,0.11亿,1.71亿,22.15亿,70.35,专精特新
603080,新疆火炬,14.01,0.07,0.01,0.0,0.93,0.84,1.5,0.18亿,1.42亿,19.82亿,16.20,"俄乌冲突概念,天然气,标普道琼斯A股,新疆振兴"
603081,大丰实业,16.38,2.83,0.45,0.12,0.84,0.84,3.77,0.55亿,4.04亿,66.17亿,22.78,"沪股通,元宇宙,雄安新区,杭州亚运会,虚拟现实,体育产业,文化传媒"
603083,剑桥科技,37.6,-2.24,-0.86,0.32,24.22,1.12,8.16,22.70亿,2.54亿,95.59亿,57.44,"共封装光学（CPO）,F5G概念,WiFi 6,年报预增,智能家居,工业互联网,边缘计算,人民币贬值受益,华为概念,融资融券,5G,物联网"
603085,天成自控,10.32,0.98,0.1,0.39,0.6,1.2,3.72,0.23亿,3.70亿,38.21亿,107.49,"比亚迪概念,工业4.0,融资融券,三胎概念,新能源汽车"
603086,先达股份,11.28,1.17,0.13,0.0,1.12,0.83,1.97,0.39亿,3.09亿,34.89亿,8.09,"年报预增,生态农业,大豆"
603087,甘李药业,37.65,-0.53,-0.2,-0.05,1.75,1.24,3.46,1.94亿,2.97亿,111.77亿,--,"创新药,沪股通,医疗器械概念,融资融券,生物医药"
603088,宁波精达,8.48,0.95,0.08,-0.12,0.91,0.74,1.91,0.33亿,4.30亿,36.49亿,27.36,"国企改革,空气能热泵,汽车热管理,年报预增,工业母机,专精特新,动力电池回收,宁德时代概念,芯片概念,融资融券,锂电池,新能源汽车"
603089,正裕工业,9.29,-0.43,-0.04,0.11,0.9,1.15,2.04,0.19亿,2.23亿,20.67亿,19.26,"比亚迪概念,专精特新,人民币贬值受益,新能源汽车"
603090,宏盛股份,24.06,-3.14,-0.78,0.08,2.93,2.28,3.38,0.71亿,1.00亿,24.06亿,45.06,"年报预增,牙科医疗,碳中和,农机,煤化工,人民币贬值受益,乡村振兴,新能源汽车"
603093,南华期货,11.9,3.12,0.36,0.42,0.98,0.99,4.51,0.70亿,6.10亿,72.60亿,29.5,"沪股通,期货概念"
603095,越剑智能,24.68,-1.2,-0.3,0.0,1.49,1.08,2.16,0.14亿,0.37亿,9.23亿,5.66,"专精特新,机器人概念,参股银行,机器视觉,高端装备,创投"
603096,新经典,22.68,3.75,0.82,0.04,1.94,0.66,5.08,0.70亿,1.63亿,36.86亿,21.83,"知识产权保护,文化传媒"
603097,江苏华辰,20.02,-1.81,-0.37,0.0,5.27,0.71,2.21,0.42亿,0.40亿,8.01亿,34.87,"新股与次新股,储能,核准制次新股,雄安新区,光伏概念,充电桩,风电,特高压,智能电网"
603098,森特股份,26.1,-1.4,-0.37,0.08,0.25,0.9,2.0,0.35亿,5.39亿,140.63亿,105.30,"噪声防治,土壤修复,沪股通,年报预增,专精特新,光伏建筑一体化,标普道琼斯A股,雄安新区,光伏概念,融资融券"
603099,长白山,10.23,0.49,0.05,-0.1,1.49,0.76,2.16,0.40亿,2.67亿,27.28亿,--,"国企改革,网约车"
603100,川仪股份,37.7,-0.45,-0.17,0.11,0.51,0.73,2.51,0.76亿,3.91亿,147.44亿,27.53,"国企改革,沪股通,碳中和,工业互联网,融资融券,高端装备,物联网,核电"
603101,汇嘉时代,5.24,1.55,0.08,-0.19,0.66,1.35,2.91,0.16亿,4.70亿,24.65亿,52.52,"预制菜,室外经济,新零售,新疆振兴"
603102,百合股份,45.4,1.11,0.5,0.0,3.04,0.53,1.98,0.42亿,0.30亿,13.75亿,20.43,"NMN概念,电子商务"
603103,横店影视,16.0,2.83,0.44,0.0,0.43,0.8,3.54,0.44亿,6.34亿,101.47亿,--,"沪股通,共同富裕示范区,标普道琼斯A股,虚拟现实,融资融券,文化传媒"
603105,芯能科技,15.68,-1.38,-0.22,0.0,1.96,0.79,2.64,1.55亿,5.00亿,78.40亿,40.93,"沪股通,年报预增,绿色电力,虚拟电厂,共同富裕示范区,储能,光伏建筑一体化,长三角一体化,光伏概念,融资融券,充电桩"
603106,恒银科技,6.48,3.02,0.19,-0.31,2.13,0.71,4.29,0.71亿,5.21亿,33.73亿,--,"AIGC概念,信创,数据安全,智慧政务,互联网金融,国产操作系统,雄安新区,区块链,人工智能,一带一路,天津自贸区,语音技术,智能医疗,电子商务,数字经济"
603108,润达医疗,15.74,0.83,0.13,0.13,3.46,0.48,3.78,3.14亿,5.80亿,91.22亿,22.36,"国企改革,猴痘概念,股权转让,幽门螺杆菌概念,沪股通,新冠检测,标普道琼斯A股,人工智能,互联网医疗,医疗器械概念,融资融券,生物医药"
603109,神驰机电,16.54,-1.02,-0.17,-0.06,5.98,4.0,3.65,2.05亿,2.07亿,34.21亿,16.75,"专精特新,储能,农机,人民币贬值受益,乡村振兴,水利,新能源汽车"
603110,东方材料,44.96,-0.82,-0.37,0.18,0.66,0.73,2.93,0.61亿,2.01亿,90.47亿,442.49,"股权转让,沪股通,石墨烯"
603111,康尼机电,4.5,0.22,0.01,0.0,0.29,0.84,1.34,0.11亿,8.36亿,37.62亿,19.84,"工业互联网,高铁,一带一路,高端装备,新能源汽车"
603112,华翔股份,10.89,0.46,0.05,0.0,1.07,1.15,0.92,0.18亿,1.58亿,17.24亿,14.28,"3D打印,光伏概念,新能源汽车"
603113,金能科技,9.95,1.43,0.14,0.0,0.62,0.92,1.73,0.53亿,8.55亿,85.08亿,24.54,"沪股通,氢能源,煤化工,煤炭概念,标普道琼斯A股,光伏概念,融资融券"
603115,海星股份,17.59,0.34,0.06,0.0,0.39,0.63,1.08,0.16亿,2.39亿,42.08亿,16.87,"专精特新,新材料概念"
603116,红蜻蜓,5.38,0.94,0.05,-0.19,0.32,0.91,1.88,0.10亿,5.76亿,31.00亿,106.43,"C2M概念,新零售,电子商务,参股券商"
603117,ST万林,3.96,3.39,0.13,-0.5,1.2,1.22,3.92,0.30亿,6.33亿,25.07亿,--,"统一大市场,股权转让,自由贸易港,ST板块"
603118,共进股份,10.55,2.73,0.28,0.19,1.24,0.75,3.7,1.01亿,7.82亿,82.49亿,17.85,"F5G概念,沪股通,WiFi 6,传感器,智能家居,基因测序,标普道琼斯A股,人民币贬值受益,虚拟现实,医疗器械概念,汽车电子,芯片概念,融资融券,5G,智能医疗,物联网"
603121,华培动力,7.02,0.29,0.02,0.14,0.44,0.7,1.71,0.10亿,3.39亿,23.77亿,161.37,"比亚迪概念,传感器,长三角一体化,标普道琼斯A股,人民币贬值受益,燃料电池,军工,新能源汽车"
603122,合富中国,10.21,0.89,0.09,0.1,1.75,1.03,1.19,0.32亿,1.79亿,18.29亿,49.13,"抗原检测,长三角一体化"
603123,翠微股份,11.47,2.05,0.23,-0.09,1.67,1.09,2.49,1.24亿,6.52亿,74.82亿,123.49,"国企改革,抖音概念,沪股通,新零售,蚂蚁金服概念,数字货币,融资融券,移动支付"
603126,中材节能,7.98,0.76,0.06,0.0,1.18,0.43,1.14,0.57亿,6.11亿,48.72亿,29.33,"国企改革,央企国企改革,储能,碳中和,碳交易,节能环保,标普道琼斯A股,雄安新区,一带一路,融资融券,中字头股票,光热发电,建筑节能"
603127,昭衍新药,52.36,-1.8,-0.96,0.1,1.26,1.23,3.53,3.01亿,4.50亿,235.71亿,26.11,"创新药,沪股通,年报预增,专精特新,CRO概念,标普道琼斯A股,MSCI概念,细胞免疫治疗,融资融券,生物疫苗"
603128,华贸物流,9.52,-0.21,-0.02,0.0,0.42,0.62,1.26,0.53亿,13.09亿,124.66亿,12.73,"国企改革,央企国企改革,统一大市场,沪股通,自由贸易港,标普道琼斯A股,跨境电商,上海自贸区,融资融券"
603129,春风动力,126.07,-0.59,-0.75,0.03,0.51,0.76,2.01,0.97亿,1.50亿,189.68亿,24.95,"沪股通,年报预增,两轮车,MSCI概念,人民币贬值受益,体育产业,融资融券"
603130,云中马,27.06,-0.99,-0.27,-0.07,10.51,0.75,2.01,1.00亿,0.35亿,9.47亿,33.8,"新股与次新股,共同富裕示范区,长三角一体化,节能环保,核准制次新股"
603131,上海沪工,13.42,0.22,0.03,0.0,1.5,0.57,2.31,0.64亿,3.18亿,42.67亿,52.51,"专精特新,机器人概念,长三角一体化,工业4.0,海工装备,卫星导航,军工,新能源汽车"
603132,金徽股份,13.26,-1.27,-0.17,0.0,1.91,1.09,1.71,0.40亿,1.60亿,21.16亿,27.59,"金属铅,专精特新,金属锌,小金属概念,稀缺资源"
603133,碳元科技,12.15,0.17,0.02,0.08,1.01,0.37,2.06,0.26亿,2.09亿,25.42亿,--,"消费电子概念,无线耳机,独角兽概念,华为概念,石墨烯,创投"
603136,天目湖,30.12,-1.76,-0.54,0.1,2.26,1.38,3.78,1.28亿,1.86亿,56.11亿,1693.64,沪股通
603138,海量数据,24.18,2.02,0.48,0.0,3.61,0.56,4.09,2.41亿,2.80亿,67.66亿,--,"信创,华为鲲鹏,沪股通,数据安全,数据中心,云计算,雄安新区,华为概念,融资融券,大数据,横琴新区"
603139,康惠制药,17.9,1.47,0.26,-0.11,0.69,1.01,2.04,0.12亿,1.00亿,17.88亿,82.44,"幽门螺杆菌概念,牙科医疗,NMN概念"
603150,万朗磁塑,28.75,1.48,0.42,-0.1,1.15,0.87,2.12,0.14亿,0.41亿,11.91亿,16.22,"可降解塑料,人民币贬值受益,一带一路,冷链物流"
603151,邦基科技,19.72,1.13,0.22,0.0,7.04,2.27,4.31,0.59亿,0.42亿,8.28亿,27.54,"新股与次新股,核准制次新股"
603153,上海建科,17.54,0.17,0.03,0.0,11.63,0.46,1.83,1.12亿,0.55亿,9.65亿,26.08,"国企改革,上海国企改革,新股与次新股,节能环保,核准制次新股,雄安新区,一带一路,智慧城市,建筑节能"
603155,新亚强,28.64,0.88,0.25,-0.07,0.82,0.84,1.8,0.13亿,0.56亿,16.15亿,18.30,"有机硅概念,新材料概念"
603156,养元饮品,23.09,0.87,0.2,0.3,0.21,0.99,1.97,0.61亿,12.65亿,292.20亿,21.75,"沪股通,网络直播,标普道琼斯A股,MSCI概念,融资融券"
603158,腾龙股份,7.76,1.17,0.09,0.13,1.59,1.29,2.61,0.61亿,4.91亿,38.09亿,27.48,"空气能热泵,比亚迪概念,汽车热管理,专精特新,华为汽车,氢能源,节能环保,特斯拉,燃料电池,汽车电子,新能源汽车"
603159,上海亚虹,13.9,1.39,0.19,0.29,0.53,1.37,2.55,0.10亿,1.40亿,19.46亿,83.13,特斯拉
603160,汇顶科技,56.83,-0.47,-0.27,-0.02,0.91,0.76,2.07,2.35亿,4.58亿,260.28亿,--,"沪股通,MCU芯片,中芯国际概念,汽车芯片,国家大基金持股,无线耳机,标普道琼斯A股,MSCI概念,人工智能,集成电路概念,粤港澳大湾区,华为概念,小米概念,智能穿戴,人脸识别,芯片概念,融资融券,物联网,国家大基金持股 "
603161,科华控股,15.53,1.5,0.23,0.0,1.32,1.11,3.73,0.27亿,1.33亿,20.72亿,--,"比亚迪概念,华为汽车,燃料电池,新能源汽车"
603162,海通发展,30.82,-3.39,-1.08,0.0,14.53,0.58,3.35,1.86亿,0.41亿,12.72亿,18.95,"新股与次新股,核准制次新股,一带一路,航运概念"
603163,圣晖集成,34.38,0.88,0.3,0.59,6.72,0.64,2.29,0.46亿,0.20亿,6.88亿,22.69,"新股与次新股,中芯国际概念,长三角一体化,核准制次新股,芯片概念"
603165,荣晟环保,14.42,-1.44,-0.21,0.21,0.87,0.63,2.39,0.35亿,2.78亿,40.15亿,22.29,"长三角一体化,节能环保,标普道琼斯A股,参股银行,芯片概念,光伏概念,污水处理"
603166,福达股份,6.37,1.11,0.07,-0.31,0.5,1.1,1.75,0.21亿,6.46亿,41.16亿,62.76,"比亚迪概念,专精特新,新能源汽车"
603167,渤海轮渡,7.31,1.39,0.1,0.14,0.58,0.94,1.53,0.20亿,4.69亿,34.29亿,23.20,"国企改革,跨境电商,中韩自贸区,航运概念,融资融券"
603168,莎普爱思,7.69,2.81,0.21,-0.13,0.79,1.18,3.08,0.20亿,3.23亿,24.81亿,47.47,"民营医院,眼科医疗,三胎概念,生物医药"
603169,兰石重装,7.85,-0.88,-0.07,0.0,2.72,0.71,2.15,2.79亿,13.06亿,102.54亿,58.29,"国企改革,超超临界发电,中俄贸易概念,沪股通,年报预增,天然气,储能,氢能源,机器人概念,煤化工,节能环保,一带一路,光伏概念,融资融券,高端装备,锂电池,光热发电,军工,核电"
603170,宝立食品,25.63,2.56,0.64,0.08,7.06,2.23,5.16,0.72亿,0.40亿,10.25亿,50.10,"预制菜,沪股通,新股与次新股,核准制次新股"
603171,税友股份,43.98,2.21,0.95,0.18,1.82,0.57,3.46,0.72亿,0.90亿,39.80亿,146.26,"沪股通,智慧政务,蚂蚁金服概念,大数据"
603173,福斯达,24.91,-0.28,-0.07,0.04,2.49,0.56,1.32,0.25亿,0.40亿,9.96亿,26.7,"新股与次新股,共同富裕示范区,天然气,氢能源,长三角一体化,核准制次新股"
603176,汇通集团,6.86,0.44,0.03,0.0,1.33,0.69,0.88,0.14亿,1.50亿,10.29亿,43.43,"新型城镇化,雄安新区,PPP概念,乡村振兴,京津冀一体化,水利"
603177,德创环保,15.37,4.56,0.67,0.07,2.22,1.69,8.03,0.68亿,2.02亿,31.05亿,127.85,"钠离子电池,碳中和,碳交易,固废处理,PM2.5"
603178,圣龙股份,10.35,0.98,0.1,0.0,0.6,0.81,2.54,0.14亿,2.30亿,23.84亿,24.32,"汽车热管理,华为汽车,新能源汽车"
603179,新泉股份,43.5,1.38,0.59,1.09,0.8,0.61,3.85,1.68亿,4.87亿,211.98亿,45.03,"比亚迪概念,沪股通,年报预增,特斯拉,融资融券,新能源汽车"
603180,金牌厨柜,36.98,-3.45,-1.32,0.05,0.9,1.02,3.89,0.52亿,1.54亿,57.04亿,20.72,"沪股通,标普道琼斯A股"
603181,皇马科技,12.88,-1.15,-0.15,0.08,0.97,1.7,2.07,0.74亿,5.89亿,75.82亿,15.02,"有机硅概念,沪股通,新材料概念,融资融券"
603182,嘉华股份,16.53,1.1,0.18,-0.06,3.22,0.83,1.65,0.22亿,0.41亿,6.80亿,22.01,"粮食概念,新股与次新股,核准制次新股,大豆,人造肉"
603183,建研院,4.56,0.22,0.01,0.0,1.1,0.7,1.1,0.25亿,4.92亿,22.41亿,259.59,"职业教育,装配式建筑,建筑节能"
603185,上机数控,102.11,-1.05,-1.08,-0.01,1.11,0.82,2.49,4.66亿,4.08亿,416.67亿,11.11,"硅能源,沪股通,年报预增,工业母机,专精特新,工业4.0,标普道琼斯A股,MSCI概念,光伏概念,融资融券"
603186,华正新材,31.8,1.34,0.42,0.03,1.89,0.61,2.74,0.85亿,1.42亿,45.12亿,125.17,"先进封装（Chiplet）,PCB概念,冷链物流,芯片概念,5G,锂电池"
603187,海容冷链,26.85,1.55,0.41,0.0,0.89,1.21,2.12,0.65亿,2.74亿,73.45亿,20.72,"沪股通,冷链物流,生物医药"
603188,亚邦股份,3.83,0.0,0.0,0.0,0.91,0.89,1.57,0.20亿,5.70亿,21.84亿,--,染料
603189,网达软件,18.73,4.93,0.88,-0.11,4.02,0.97,6.16,1.98亿,2.70亿,50.49亿,80.51,"AIGC概念,信创,虚拟数字人,元宇宙,安防,网络直播,智慧政务,在线教育,国产操作系统,超清视频,人工智能,虚拟现实,国产软件,华为概念,上海自贸区,世界杯,物联网"
603190,亚通精工,31.35,0.16,0.05,0.0,5.78,0.56,1.57,0.54亿,0.30亿,9.40亿,24.95,"新股与次新股,特斯拉,核准制次新股,新能源汽车"
603191,望变电气,22.18,-0.09,-0.02,0.05,2.67,0.6,1.53,0.49亿,0.83亿,18.47亿,24.79,"新股与次新股,年报预增,新材料概念,特钢概念,核准制次新股,一带一路,融资融券"
603192,汇得科技,19.83,0.25,0.05,0.0,0.24,0.48,0.81,0.07亿,1.39亿,27.50亿,32.47,"汽车热管理,专精特新,新能源汽车"
603195,公牛集团,157.96,-2.29,-3.7,-0.06,0.11,0.89,4.44,1.02亿,5.99亿,946.37亿,30.16,"沪股通,智能家居,同花顺漂亮100,超级品牌,华为概念,融资融券,家用电器,充电桩,节能照明"
603196,日播时尚,8.52,1.07,0.09,0.0,0.61,0.79,2.49,0.12亿,2.38亿,20.26亿,53.73,"虚拟数字人,网络直播,新零售,三胎概念,电子商务"
603197,保隆科技,40.55,4.46,1.73,0.0,2.57,1.24,4.89,2.14亿,2.08亿,84.23亿,55.26,"沪股通,传感器,特斯拉,胎压监测,汽车电子,无人驾驶,融资融券,新能源汽车"
603198,迎驾贡酒,66.61,-0.7,-0.47,0.0,0.54,1.2,2.85,2.92亿,8.00亿,532.88亿,33.22,"沪股通,标普道琼斯A股,白酒概念,融资融券"
603199,九华旅游,28.97,2.91,0.82,-0.21,3.67,1.58,4.58,1.16亿,1.11亿,32.06亿,2431.81,"国企改革,在线旅游,电子商务"
603200,上海洗霸,22.76,2.38,0.53,0.18,2.79,0.67,4.32,1.10亿,1.74亿,39.52亿,93.48,"固态电池,方舱医院,钠离子电池,消毒剂,污水处理"
603201,常润股份,32.23,1.07,0.34,0.0,1.98,0.81,2.26,0.13亿,0.20亿,6.41亿,14.97,"比亚迪概念,新股与次新股,专精特新,核准制次新股,人民币贬值受益,跨境电商,新能源汽车"
603203,快克智能,34.4,-0.58,-0.2,0.0,0.2,0.47,1.97,0.17亿,2.47亿,84.94亿,29.13,"沪股通,专精特新,机器人概念,富士康概念,工业互联网,OLED,机器视觉,智能穿戴,高端装备,苹果概念,新能源汽车"
603206,嘉环科技,18.41,2.62,0.47,0.0,5.9,0.55,3.46,0.82亿,0.76亿,14.05亿,37.67,"智慧灯杆,新股与次新股,智慧政务,职业教育,核准制次新股,智能交通,国产软件,华为概念,5G,智慧城市,数字经济"
603208,江山欧派,61.01,-3.34,-2.11,0.02,0.73,1.47,6.64,0.62亿,1.37亿,83.33亿,202.16,"沪股通,共同富裕示范区"
603209,兴通股份,36.15,1.18,0.42,-0.36,1.23,0.53,3.83,0.46亿,1.04亿,37.60亿,34.57,航运概念
603211,晋拓股份,16.75,1.33,0.22,0.0,26.6,1.71,5.45,3.03亿,0.68亿,11.38亿,65.02,"毫米波雷达,比亚迪概念,新股与次新股,专精特新,机器人概念,智能家居,长三角一体化,核准制次新股,新能源汽车"
