基金代码,基金简称,发行公司,基金类型,集中认购期,募集份额,成立日期,成立来涨幅,基金经理,申购状态,优惠费率
008356,中加科丰价值精选混合,中加基金,混合型-偏债,20/04/28～20/04/30,3.5,2020-05-08,24.69,"于跃,钟伟",开放申购,0.1
009377,招商瑞恒一年持有期混合A,招商基金,混合型-偏债,20/04/27～20/05/20,21.84,2020-05-22,13.32,"余芽芳,王垠",开放申购,0.06
009378,招商瑞恒一年持有期混合C,招商基金,混合型-偏债,20/04/27～20/05/20,21.84,2020-05-22,12.02,"余芽芳,王垠",开放申购,0.0
009205,兴银丰运稳益回报混合A,兴银基金,混合型-偏债,20/04/27～20/05/15,3.93,2020-05-21,34.34,袁作栋,开放申购,0.12
009206,兴银丰运稳益回报混合C,兴银基金,混合型-偏债,20/04/27～20/05/15,3.93,2020-05-21,33.66,袁作栋,开放申购,0.0
009331,鹏华成长价值混合C,鹏华基金,混合型-偏股,20/04/27～20/05/13,59.84,2020-05-18,-11.4,梁超,开放申购,0.0
009330,鹏华成长价值混合A,鹏华基金,混合型-偏股,20/04/27～20/05/13,59.84,2020-05-18,-9.33,梁超,开放申购,0.15
009142,泰达价值长青混合C,泰达宏利基金,混合型-偏股,20/04/24～20/06/19,12.79,2020-06-24,-15.57,吴华,开放申购,0.0
009141,泰达价值长青混合A,泰达宏利基金,混合型-偏股,20/04/24～20/06/19,12.79,2020-06-24,-14.86,吴华,开放申购,0.15
009336,平安中证500指数增强A,平安基金,指数型-股票,20/04/24～20/05/22,0.36,2020-05-27,19.7,俞瑶,开放申购,0.12
009337,平安中证500指数增强C,平安基金,指数型-股票,20/04/24～20/05/22,0.36,2020-05-27,17.99,俞瑶,开放申购,0.0
009155,海富通富盈混合C,海富通基金,混合型-偏债,20/04/24～20/05/15,29.32,2020-05-20,6.2,"杜晓海,夏妍妍,陶敏",开放申购,0.0
009154,海富通富盈混合A,海富通基金,混合型-偏债,20/04/24～20/05/15,29.32,2020-05-20,7.44,"杜晓海,夏妍妍,陶敏",开放申购,0.12
008308,华夏见龙精选混合,华夏基金,混合型-偏股,20/04/23～20/05/12,11.53,2020-05-15,21.59,潘中宁,开放申购,0.15
009260,民生加银聚利6个月混合A,民生加银基金,混合型-偏债,20/04/22～20/05/12,12.27,2020-05-14,10.96,"谢志华,付裕",开放申购,0.06
009261,民生加银聚利6个月混合C,民生加银基金,混合型-偏债,20/04/22～20/05/12,12.27,2020-05-14,9.84,"谢志华,付裕",开放申购,0.0
009113,浙商汇金卓越优选3个月(FOF),浙商证券资管,FOF,20/04/21～20/05/12,2.93,2020-05-15,-1.84,宋青涛,开放申购,0.1
008889,银华中证5G通信主题ETF联接A,银华基金,指数型-股票,20/04/20～20/05/22,16.85,2020-05-28,-16.94,"马君,王帅",开放申购,0.12
010524,银华中证5G通信主题ETF联接C,银华基金,指数型-股票,20/04/20～20/05/22,,2021-01-04,-10.23,"马君,王帅",开放申购,0.0
008619,永赢医药健康C,永赢基金,股票型,20/04/20～20/05/15,2.4,2020-05-20,19.64,陆海燕,开放申购,0.0
008618,永赢医药健康A,永赢基金,股票型,20/04/20～20/05/15,2.4,2020-05-20,20.35,陆海燕,开放申购,0.15
006440,中信建投中证500增强A,中信建投基金,指数型-股票,20/04/20～20/04/30,2.72,2020-05-09,50.04,王鹏,限大额,0.1
006441,中信建投中证500增强C,中信建投基金,指数型-股票,20/04/20～20/04/30,2.72,2020-05-09,48.73,王鹏,限大额,0.0
009189,华宝成长策略混合,华宝基金,混合型-偏股,20/04/17～20/04/30,7.22,2020-05-09,57.09,汤慧,开放申购,0.15
009188,鹏华股息精选混合,鹏华基金,混合型-偏股,20/04/16～20/04/29,9.0,2020-05-07,4.04,包兵华,开放申购,0.15
009055,圆信永丰大湾区A,圆信永丰基金,混合型-偏股,20/04/15～20/05/08,2.19,2020-05-14,49.0,汪萍,开放申购,0.15
009056,圆信永丰大湾区C,圆信永丰基金,混合型-偏股,20/04/15～20/05/08,2.19,2020-05-14,46.68,汪萍,开放申购,0.0
008702,华夏黄金ETF联接C,华夏基金,商品（不含QDII）,20/04/13～20/07/13,1.22,2020-07-16,4.34,荣膺,开放申购,0.0
008701,华夏黄金ETF联接A,华夏基金,商品（不含QDII）,20/04/13～20/07/13,1.22,2020-07-16,5.34,荣膺,开放申购,0.06
008181,同泰慧利混合C,同泰基金,混合型-偏股,20/04/13～20/07/01,3.31,2020-07-03,30.82,王伟,开放申购,0.0
008180,同泰慧利混合A,同泰基金,混合型-偏股,20/04/13～20/07/01,3.31,2020-07-03,32.26,王伟,开放申购,0.15
008621,天弘永裕稳健养老一年(FOF)A,天弘基金,FOF,20/04/13～20/05/13,5.89,2020-05-18,5.46,王帆,开放申购,0.06
017354,天弘永裕稳健养老一年(FOF)Y,天弘基金,FOF,20/04/13～20/05/13,,2022-11-16,1.02,王帆,开放申购,0.0
008424,中融品牌优选混合A,中融基金,混合型-偏股,20/04/13～20/05/08,14.81,2020-05-14,-8.25,钱文成,开放申购,0.15
008425,中融品牌优选混合C,中融基金,混合型-偏股,20/04/13～20/05/08,14.81,2020-05-14,-10.71,钱文成,开放申购,0.0
008905,嘉合锦鹏添利混合A,嘉合基金,混合型-偏债,20/04/13～20/04/24,6.7,2020-04-29,19.65,"于启明,季慧娟,叶平",开放申购,0.1
008838,德邦量化对冲混合A,德邦基金,混合-绝对收益,20/04/13～20/04/24,1.92,2020-04-29,-9.7,"吴志鹏,李荣兴",开放申购,1.5
008839,德邦量化对冲混合C,德邦基金,混合-绝对收益,20/04/13～20/04/24,1.92,2020-04-29,-10.38,"吴志鹏,李荣兴",开放申购,0.0
008906,嘉合锦鹏添利混合C,嘉合基金,混合型-偏债,20/04/13～20/04/24,6.7,2020-04-29,18.26,"于启明,季慧娟,叶平",开放申购,0.0
009140,永赢竞争力精选混合A,永赢基金,混合型-偏股,20/04/13～20/04/17,0.5,2020-04-22,38.47,乔敏,开放申购,0.15
